handle,wallet,chain,source
prateek0x_,0x116fe4f2cb6a82bdd152c11f1332da582c12e8de,BSC,hodlers+amount+rpc
800millionsdollars,0x874d6e917a53640d085e1b47b629f53880c8453e,BSC,hodlers+amount+rpc
mobin23,0x127252a78b8bc0c6ce1a1b826013dbd139775ff1,BSC,hodlers+amount+rpc
jacht,0x91ca544d4c2f695797d63ca12d264d2e7c2ec75e,BSC,hodlers+amount+rpc
b_ez_wee_z,0x7e0a3eeeed9d8b92f00392ba3db6c1f703109377,BSC,hodlers+amount+rpc
koy,0xbf6c6f756033faab8a5b2ee8da8835e0d9e0651b,BSC,hodlers+amount+rpc
kerim,0x8bfda1ecc1b475349119f8074e18114392df2e50,BSC,hodlers+amount+rpc
brant1981,0x22c72819f19ceb74f177b24ce7469bd637174806,BSC,hodlers+amount+rpc
mrw22,0x942e14b9c21cff321f65baf442a2242cdc305851,BSC,hodlers+amount+rpc
prafreddevil,0x084beabb99a3c99941cbd36068914be60bfe8fe2,BSC,hodlers+amount+rpc
mike_rez,0xd5808824f3f231cef4e93994da03f5d25783fd17,BSC,hodlers+amount+rpc
traveltheworld,0x413f23b3bc530eecc5388bfec8a3ae79dd2e908c,BSC,hodlers+amount+rpc
ericzhong,0x74002fde95ed9d417190285a8a61738c9f4a022a,BSC,hodlers+amount+rpc
crypt_omar,0x7547d27adfefd50f77f3d3d1415b68d6792762d1,BSC,hodlers+amount+rpc
0xguts__,0x8e0067ded52fb7675cac5959434ab133dc62b634,BSC,hodlers+amount+rpc
yunababy,0x4d5f2537ea9dabd69e9be72da64bec729040b85e,BSC,hodlers+amount+rpc
zuzu888,0x87a7382a0ec65ceeb42cfc247e21c661cb1e273c,BSC,hodlers+amount+rpc
angel_t1ny,0xfdde08b489fdcb3b66f843a9b70d091c8b9414ce,BSC,hodlers+amount+rpc
0xflamedoteth,0xa04a541f2a6cebcb06a05d5a52339d7ff2c0dc4e,BSC,hodlers+amount+rpc
aifeathers,0xf98a7280b96c3383ee791ee8cd085f4cf90ec378,BSC,hodlers+amount+rpc
deestackz,0x21566e2246b79754871532694c8064a1696fb3b4,BSC,hodlers+amount+rpc
1godzilla0,0x5b7e6d32eaf776b14b79a19679260f9ebe0a46f4,BSC,hodlers+amount+rpc
3figsto7figs,0xf5e0735b343b2c4343902212bdb0d5c083ab58fb,BSC,hodlers+amount+rpc
xach,0xad5aa7be986806ac5d931864544452e3cbbb54bf,BSC,hodlers+amount+rpc
babypbtc,0xaac12749e286d97e5fc12b1719a5425733e16f6c,BSC,hodlers+amount+rpc
macfeurson,0x7e91149bcf20b6eab8ba1f7153b5f873807a8674,BSC,hodlers+amount+rpc
blizzardkicks_,0xad9016bc32efdb0b2a1aff66c1a1349b13b91217,BSC,hodlers+amount+rpc
caso69,0xfdad34956ce1fffab2ef36ad4a528144f909c940,BSC,hodlers+amount+rpc
coinss,0x6663adfa8a8f835af41e6bf7b726f6bb0da94813,BSC,hodlers+amount+rpc
